file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/util/DiscoveryNodeFilterer.java,org.opensearch.ad.util.DiscoveryNodeFilterer$HotDataNodePredicate,innerclass,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/util/BulkUtil.java,org.opensearch.ad.util.BulkUtil,class,7,8,1,7,10,1,0,16,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,32,3,2,2,1,0,1,0,4,0,4,3,0,0,0,56,1,1
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/cluster/HashRing.java,org.opensearch.ad.cluster.HashRing,class,30,40,10,30,85,1,0,114,18,0.8220553,0.0,0.0,21,0,14,5,2,0,16,0,0,0,19,4,0,17,0,2,11,0,15,343,22,12,16,2,0,22,17,82,4,95,7,0,0,17,309,1,17
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/ratelimit/RequestPriority.java,org.opensearch.ad.ratelimit.RequestPriority,enum,0,6,6,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/feature/CompositeRetriever.java,org.opensearch.ad.feature.CompositeRetriever$PageIterator,innerclass,13,13,0,13,30,1,0,32,0,0.3888889,0.0,0.0,9,0,4,4,0,1,5,0,0,0,2,0,0,1,0,1,0,0,7,98,9,1,13,1,2,5,3,15,0,13,2,1,0,0,100,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/ml/ModelManager.java,org.opensearch.ad.ml.ModelManager$ModelType,enum,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,3,0,1,0,1,0,0,0,0,19,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/common/exception/LimitExceededException.java,org.opensearch.ad.common.exception.LimitExceededException,class,2,13,11,2,4,7,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/AnomalyDetectorPlugin.java,org.opensearch.ad.AnomalyDetectorPlugin$Anonymous1,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/model/ADTaskState.java,org.opensearch.ad.model.ADTaskState,enum,0,2,2,0,0,1,0,2,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,108,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/rest/handler/AnomalyDetectorFunction.java,org.opensearch.ad.rest.handler.AnomalyDetectorFunction,interface,0,8,8,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/task/ADHCBatchTaskCache.java,org.opensearch.ad.task.ADHCBatchTaskCache,class,1,3,2,1,43,1,0,18,230,0.828125,0.0,0.0,32,0,32,0,0,0,32,0,0,0,10,0,0,10,0,0,0,0,3,152,24,1,6,0,0,0,7,18,1,17,3,0,0,2,112,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/PreviewAnomalyDetectorTransportAction.java,org.opensearch.ad.transport.PreviewAnomalyDetectorTransportAction$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/task/ADBatchTaskRunner.java,org.opensearch.ad.task.ADBatchTaskRunner,class,65,69,4,65,101,1,0,248,0,0.82186955,0.0,0.0,27,0,5,22,0,0,5,0,0,1,21,2,0,21,0,0,16,0,15,636,16,2,10,8,10,60,34,145,46,186,5,0,0,59,338,1,37
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/PreviewAnomalyDetectorTransportAction.java,org.opensearch.ad.transport.PreviewAnomalyDetectorTransportAction$Anonymous2,anonymous,7,7,0,7,3,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,1,0,1,0,2,1,2,1,0,0,0,24,-1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/PreviewAnomalyDetectorAction.java,org.opensearch.ad.transport.PreviewAnomalyDetectorAction,class,2,3,1,2,1,2,0,0,0,0.5,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,7,0,0,0,0,0,1,0,2,1,2,0,0,0,0,12,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/indices/ADIndex.java,org.opensearch.ad.indices.ADIndex,enum,1,3,2,1,4,1,0,2,0,0.5,0.0,0.0,4,0,3,0,0,1,4,0,0,0,3,0,0,3,0,0,3,0,5,18,3,0,0,0,0,0,0,3,0,3,0,0,0,0,33,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/cluster/MasterEventListener.java,org.opensearch.ad.cluster.MasterEventListener,class,13,17,4,13,10,1,0,7,9,0.67857146,0.0,0.0,7,0,3,2,2,0,5,0,0,0,8,0,0,8,0,0,0,0,0,62,3,0,3,0,0,0,2,11,0,9,1,2,0,0,40,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/RCFPollingAction.java,org.opensearch.ad.transport.RCFPollingAction,class,2,3,1,2,1,2,0,0,0,0.5,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,7,0,0,0,0,0,1,0,2,1,2,0,0,0,0,12,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/ADBatchTaskRemoteExecutionTransportAction.java,org.opensearch.ad.transport.ADBatchTaskRemoteExecutionTransportAction,class,8,9,1,8,2,2,0,2,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,2,0,0,12,0,0,0,0,0,0,0,2,0,2,0,0,0,0,19,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/ProfileTransportAction.java,org.opensearch.ad.transport.ProfileTransportAction,class,22,24,2,22,15,2,0,21,8,0.64000005,0.0,0.0,5,0,1,0,4,0,5,0,0,0,5,1,0,5,0,0,1,0,1,63,4,0,1,0,0,1,5,23,0,15,3,0,0,1,73,1,1
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/IndexAnomalyDetectorTransportAction.java,org.opensearch.ad.transport.IndexAnomalyDetectorTransportAction,class,28,30,2,28,15,2,0,41,0,0.45000005,0.0,0.0,5,0,1,2,2,0,3,0,0,0,8,1,0,8,0,0,7,0,4,95,1,0,4,4,0,1,2,30,0,33,3,0,0,5,104,1,4
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/DeleteModelTransportAction.java,org.opensearch.ad.transport.DeleteModelTransportAction,class,20,22,2,20,5,2,0,13,8,0.6333334,0.0,0.0,5,0,1,0,4,0,5,0,0,0,6,1,0,6,0,0,1,0,0,36,4,0,0,0,0,4,0,7,1,9,0,0,0,2,60,1,3
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/DeleteAnomalyResultsAction.java,org.opensearch.ad.transport.DeleteAnomalyResultsAction,class,2,3,1,2,1,2,0,0,0,0.5,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,7,0,0,0,0,0,1,0,2,1,2,0,0,0,0,12,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/feature/CompositeRetriever.java,org.opensearch.ad.feature.CompositeRetriever$PageIterator$Anonymous1,anonymous,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,-1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/util/Bwc.java,org.opensearch.ad.util.Bwc,class,1,7,6,1,1,1,0,1,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,36,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/rest/RestAnomalyDetectorJobAction.java,org.opensearch.ad.rest.RestAnomalyDetectorJobAction,class,15,17,2,15,8,2,0,17,15,0.8333333,0.0,0.0,6,0,4,1,1,0,5,0,0,0,2,1,1,1,0,0,1,0,6,39,6,0,0,0,0,6,0,12,0,13,1,0,0,2,81,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/ADStatsNodeResponse.java,org.opensearch.ad.transport.ADStatsNodeResponse,class,8,11,3,8,7,2,0,6,0,0.16666667,0.0,0.0,6,1,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,27,3,1,0,0,0,0,0,2,0,1,1,0,0,0,58,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/IndexAnomalyDetectorRequest.java,org.opensearch.ad.transport.IndexAnomalyDetectorRequest,class,10,12,2,10,14,2,0,12,25,0.7142858,0.0,0.0,14,0,14,0,0,0,14,0,0,0,10,0,0,10,0,0,0,0,0,84,11,0,0,0,0,0,0,20,0,10,0,0,0,0,44,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/ADTaskProfileRequest.java,org.opensearch.ad.transport.ADTaskProfileRequest,class,5,7,2,5,6,2,0,5,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,25,2,0,0,0,0,0,0,4,0,2,1,0,0,0,27,1,0
